x,y,z
1,-0.007898,0
0.999,-0.00762055,0
0.998,-0.0073429,0
0.995,-0.00650895,0
0.992,-0.00567365,0
0.989,-0.0048373,0
0.986,-0.00400025,0
0.983,-0.0031626,0
0.98,-0.00232475,0
0.977,-0.00148695,0
0.974,-0.00064935,0
0.973,-0.00037025,0
0.97,0.00046665,0
0.967,0.00130275,0
0.964,0.0021378,0
0.961,0.0029716,0
0.958,0.0038039,0
0.955,0.00463455,0
0.952,0.00546325,0
0.949,0.0062899,0
0.948,0.00656495,0
0.945,0.0073885,0
0.942,0.0082095,0
0.939,0.00902775,0
0.936,0.00984305,0
0.933,0.0106553,0
0.93,0.0114643,0
0.927,0.01226985,0
0.924,0.01307185,0
0.923,0.01333835,0
0.92,0.0141353,0
0.917,0.01492825,0
0.914,0.01571715,0
0.911,0.0165018,0
0.908,0.0172821,0
0.905,0.01805785,0
0.902,0.018829,0
0.899,0.0195954,0
0.898,0.01984975,0
0.895,0.0206096,0
0.892,0.0213644,0
0.889,0.02211405,0
0.886,0.0228584,0
0.883,0.02359745,0
0.88,0.024331,0
0.877,0.025059,0
0.874,0.02578135,0
0.873,0.0260209,0
0.87,0.0267356,0
0.867,0.0274444,0
0.864,0.02814735,0
0.861,0.02884425,0
0.858,0.02953505,0
0.855,0.03021975,0
0.852,0.0308982,0
0.849,0.0315704,0
0.848,0.03179305,0
0.845,0.03245675,0
0.842,0.03311405,0
0.839,0.0337649,0
0.836,0.03440925,0
0.833,0.035047,0
0.83,0.0356782,0
0.827,0.0363027,0
0.824,0.03692055,0
0.823,0.037125,0
0.82,0.03773385,0
0.817,0.038336,0
0.814,0.0389313,0
0.811,0.0395198,0
0.808,0.0401015,0
0.805,0.04067635,0
0.802,0.0412443,0
0.799,0.04180535,0
0.798,0.04199085,0
0.795,0.0425427,0
0.792,0.04308765,0
0.789,0.04362565,0
0.786,0.04415675,0
0.783,0.0446809,0
0.78,0.04519815,0
0.777,0.04570845,0
0.774,0.0462118,0
0.773,0.04637805,0
0.77,0.0468722,0
0.767,0.04735945,0
0.764,0.04783975,0
0.761,0.0483132,0
0.758,0.04877975,0
0.755,0.0492395,0
0.752,0.04969235,0
0.749,0.05013835,0
0.748,0.05028555,0
0.745,0.0507225,0
0.742,0.0511527,0
0.739,0.05157615,0
0.736,0.05199285,0
0.733,0.05240285,0
0.73,0.0528062,0
0.727,0.05320295,0
0.724,0.05359305,0
0.723,0.0537216,0
0.72,0.05410295,0
0.717,0.05447775,0
0.714,0.0548461,0
0.711,0.05520795,0
0.708,0.0555634,0
0.705,0.0559125,0
0.702,0.0562552,0
0.699,0.05659165,0
0.698,0.0567024,0
0.695,0.0570305,0
0.692,0.0573524,0
0.689,0.05766815,0
0.686,0.05797775,0
0.683,0.05828135,0
0.68,0.05857885,0
0.677,0.05887045,0
0.674,0.0591561,0
0.673,0.05925,0
0.67,0.05952785,0
0.667,0.05979985,0
0.664,0.0600661,0
0.661,0.06032665,0
0.658,0.0605815,0
0.655,0.0608308,0
0.652,0.0610745,0
0.649,0.0613127,0
0.648,0.0613909,0
0.645,0.06162185,0
0.642,0.06184745,0
0.639,0.06206765,0
0.636,0.0622826,0
0.633,0.06249235,0
0.63,0.06269695,0
0.627,0.06289635,0
0.624,0.06309075,0
0.623,0.06315445,0
0.62,0.06334215,0
0.617,0.06352495,0
0.614,0.0637028,0
0.611,0.0638759,0
0.608,0.06404415,0
0.605,0.06420775,0
0.602,0.0643666,0
0.599,0.0645209,0
0.598,0.0645713,0
0.595,0.0647195,0
0.592,0.0648632,0
0.589,0.06500245,0
0.586,0.0651373,0
0.583,0.0652678,0
0.58,0.06539405,0
0.577,0.06551605,0
0.574,0.06563385,0
0.573,0.0656722,0
0.57,0.0657845,0
0.567,0.0658927,0
0.564,0.0659969,0
0.561,0.0660971,0
0.558,0.0661934,0
0.555,0.06628585,0
0.552,0.0663744,0
0.549,0.0664592,0
0.548,0.0664866,0
0.545,0.0665664,0
0.542,0.06664255,0
0.539,0.066715,0
0.536,0.06678385,0
0.533,0.0668492,0
0.53,0.06691095,0
0.527,0.0669693,0
0.524,0.06702415,0
0.523,0.0670417,0
0.52,0.06709205,0
0.517,0.067139,0
0.514,0.0671827,0
0.511,0.0672231,0
0.508,0.06726025,0
0.505,0.0672942,0
0.502,0.06732495,0
0.499,0.06735255,0
0.498,0.06736105,0
0.495,0.0673845,0
0.492,0.06740485,0
0.489,0.0674222,0
0.486,0.06743645,0
0.483,0.06744775,0
0.48,0.06745605,0
0.477,0.0674614,0
0.474,0.06746385,0
0.473,0.067464,0
0.47,0.06746255,0
0.467,0.0674582,0
0.464,0.067451,0
0.461,0.0674409,0
0.458,0.067428,0
0.455,0.06741225,0
0.452,0.06739375,0
0.449,0.0673724,0
0.448,0.06736465,0
0.445,0.0673396,0
0.442,0.06731175,0
0.439,0.06728115,0
0.436,0.06724775,0
0.433,0.06721165,0
0.43,0.06717275,0
0.427,0.0671311,0
0.424,0.0670867,0
0.423,0.06707125,0
0.42,0.06702315,0
0.417,0.0669723,0
0.414,0.0669187,0
0.411,0.0668623,0
0.408,0.06680315,0
0.405,0.06674115,0
0.402,0.0666764,0
0.399,0.0666088,0
0.398,0.06658565,0
0.395,0.0665143,0
0.392,0.0664401,0
0.389,0.06636305,0
0.386,0.06628315,0
0.383,0.0662003,0
0.38,0.0661145,0
0.377,0.0660258,0
0.374,0.06593415,0
0.373,0.0659029,0
0.37,0.06580725,0
0.367,0.06570855,0
0.364,0.06560675,0
0.361,0.0655019,0
0.358,0.0653939,0
0.355,0.0652828,0
0.352,0.06516845,0
0.349,0.0650509,0
0.348,0.06501095,0
0.345,0.06488905,0
0.342,0.0647638,0
0.339,0.0646352,0
0.336,0.0645032,0
0.333,0.0643677,0
0.33,0.06422875,0
0.327,0.06408625,0
0.324,0.0639402,0
0.323,0.0638907,0
0.32,0.06373975,0
0.317,0.06358505,0
0.314,0.06342665,0
0.311,0.0632644,0
0.308,0.0630983,0
0.305,0.06292825,0
0.302,0.0627542,0
0.299,0.0625761,0
0.298,0.06251585,0
0.295,0.06233225,0
0.292,0.06214445,0
0.289,0.0619524,0
0.286,0.06175605,0
0.283,0.0615553,0
0.28,0.06135005,0
0.277,0.0611403,0
0.274,0.0609259,0
0.273,0.0608534,0
0.27,0.0606328,0
0.267,0.0604074,0
0.264,0.06017715,0
0.261,0.059942,0
0.258,0.0597018,0
0.255,0.05945655,0
0.252,0.0592061,0
0.249,0.05895045,0
0.248,0.05886405,0
0.245,0.05860125,0
0.242,0.05833305,0
0.239,0.0580593,0
0.236,0.05777995,0
0.233,0.0574949,0
0.23,0.0572041,0
0.227,0.0569074,0
0.224,0.0566048,0
0.223,0.05650255,0
0.22,0.05619185,0
0.217,0.05587495,0
0.214,0.0555518,0
0.211,0.05522225,0
0.208,0.0548863,0
0.205,0.0545438,0
0.202,0.05419465,0
0.199,0.05383875,0
0.198,0.0537186,0
0.195,0.0533536,0
0.192,0.0529816,0
0.189,0.05260255,0
0.186,0.05221635,0
0.183,0.05182285,0
0.18,0.05142195,0
0.177,0.0510136,0
0.174,0.0505977,0
0.173,0.05045735,0
0.17,0.05003115,0
0.167,0.0495971,0
0.164,0.04915515,0
0.161,0.04870515,0
0.158,0.048247,0
0.155,0.04778055,0
0.152,0.0473057,0
0.149,0.0468224,0
0.148,0.04665935,0
0.145,0.04616455,0
0.142,0.0456609,0
0.139,0.0451484,0
0.136,0.04462685,0
0.133,0.0440962,0
0.13,0.0435562,0
0.127,0.04300685,0
0.124,0.0424479,0
0.123,0.04225945,0
0.12,0.04168755,0
0.117,0.0411058,0
0.114,0.04051395,0
0.111,0.03991195,0
0.108,0.03929955,0
0.105,0.0386766,0
0.102,0.0380429,0
0.099,0.0373983,0
0.098,0.037181,0
0.095,0.0365215,0
0.092,0.03585055,0
0.089,0.03516795,0
0.086,0.03447335,0
0.083,0.0337666,0
0.08,0.03304725,0
0.077,0.03231505,0
0.074,0.0315696,0
0.073,0.0313181,0
0.07,0.0305543,0
0.067,0.0297762,0
0.064,0.02898325,0
0.061,0.0281748,0
0.058,0.0273502,0
0.055,0.0265086,0
0.052,0.02564905,0
0.049,0.0247705,0
0.048,0.0244732,0
0.045,0.0235672,0
0.042,0.0226388,0
0.039,0.021686,0
0.036,0.02070635,0
0.033,0.01969695,0
0.03,0.018654,0
0.027,0.01757265,0
0.024,0.0164466,0
0.023,0.0160599,0
