x,y
1,-0.0065101
0.975,-0.0004721
0.95,0.004828
0.925,0.009893
0.9,0.0146721
0.875,0.019265
0.85,0.0235324
0.825,0.0276437
0.8,0.031477
0.775,0.0351257
0.75,0.0384785
0.725,0.0415153
0.7,0.0442769
0.675,0.0468178
0.65,0.0490753
0.6,0.0529222
0.55,0.0559087
0.5,0.0580429
0.45,0.0593828
0.4,0.0599341
0.35,0.0598217
0.3,0.0588168
0.25,0.0570143
0.2,0.0541809
0.15,0.0501449
0.1,0.0444714
0.075,0.0405961
0.05,0.0354634
0.025,0.0277046
0.01,0.0192718
0.0075,0.0170814
0.005,0.0142981
0.0025,0.0103169
0.001,0.0065932
0,0
0.001,-0.0053944
0.0025,-0.0077215
0.005,-0.0102111
0.0075,-0.0120867
0.01,-0.013645
0.025,-0.0201685
0.05,-0.0270807
0.075,-0.0320843
0.1,-0.0361008
0.15,-0.0423348
0.2,-0.0469666
0.25,-0.0504413
0.3,-0.0529736
0.35,-0.0546746
0.4,-0.0555978
0.45,-0.0557204
0.5,-0.0548443
0.55,-0.052706
0.6,-0.0489905
0.65,-0.0432962
0.675,-0.039586
0.7,-0.0354186
0.725,-0.0309786
0.75,-0.0264598
0.775,-0.0220211
0.8,-0.0178393
0.825,-0.0141433
0.85,-0.0111791
0.875,-0.0090154
0.9,-0.0076804
0.925,-0.007224
0.95,-0.0077344
0.975,-0.009385
1,-0.0127179
