x,y
1,0.00002
0.975,0.0062841
0.95,0.010624
0.925,0.0150112
0.9,0.0193986
0.875,0.0237831
0.85,0.0281506
0.825,0.0324541
0.8,0.0365259
0.775,0.0404962
0.75,0.0442918
0.725,0.0477865
0.7,0.0510957
0.675,0.0541774
0.65,0.0568504
0.6,0.0611541
0.55,0.0639815
0.5,0.0656
0.45,0.0661489
0.4,0.0657057
0.35,0.0643721
0.3,0.0620593
0.25,0.0587264
0.2,0.0542843
0.15,0.0486417
0.1,0.0411762
0.075,0.0365314
0.05,0.0309042
0.025,0.0233865
0.01,0.0163437
0.0075,0.0145566
0.005,0.0123531
0.0025,0.0094419
0.001,0.0064
0,0
0.001,-0.0041
0.0025,-0.0068496
0.005,-0.0099932
0.0075,-0.0120635
0.01,-0.013668
0.025,-0.0198582
0.05,-0.0259823
0.075,-0.0303686
0.1,-0.0338806
0.15,-0.0395834
0.2,-0.04383
0.25,-0.0472607
0.3,-0.0498038
0.35,-0.0516236
0.4,-0.0525434
0.45,-0.0526663
0.5,-0.0518
0.55,-0.0495693
0.6,-0.0453632
0.65,-0.0391512
0.675,-0.0354191
0.7,-0.0314511
0.725,-0.027205
0.75,-0.0228035
0.775,-0.0184811
0.8,-0.0143047
0.825,-0.0104834
0.85,-0.0070824
0.875,-0.0041844
0.9,-0.0019267
0.925,-0.0005929
0.95,-0.0000926
0.975,-0.0006786
1,-0.00002
