x,y,z
1,0.002,0
0.985886,0.0051,0
0.964902,0.0099,0
0.935728,0.0158,0
0.899952,0.023,0
0.858986,0.030303,0
0.790661,0.039973,0
0.74217,0.04532,0
0.692501,0.049499,0
0.667505,0.051228,0
0.642522,0.05264,0
0.617641,0.053774,0
0.592942,0.054731,0
0.568493,0.055531,0
0.544351,0.056077,0
0.520573,0.056385,0
0.497207,0.056519,0
0.474296,0.056517,0
0.451876,0.056358,0
0.429979,0.056023,0
0.408632,0.055536,0
0.387856,0.054959,0
0.367669,0.054302,0
0.348087,0.053556,0
0.32912,0.052727,0
0.310776,0.051823,0
0.293062,0.050846,0
0.275981,0.0498,0
0.259532,0.048692,0
0.243715,0.047531,0
0.228525,0.046323,0
0.213958,0.045077,0
0.200007,0.043798,0
0.186664,0.042492,0
0.173919,0.041164,0
0.161763,0.039819,0
0.150184,0.038465,0
0.139169,0.037108,0
0.128704,0.035755,0
0.118778,0.034404,0
0.109377,0.033054,0
0.100487,0.031706,0
0.092092,0.030364,0
0.084177,0.029032,0
0.076727,0.027711,0
0.069726,0.0264,0
0.063159,0.025097,0
0.057009,0.023809,0
0.05126,0.022538,0
0.045896,0.021282,0
0.040902,0.020032,0
0.036265,0.018783,0
0.031966,0.017543,0
0.027987,0.016318,0
0.024313,0.015104,0
0.020931,0.013896,0
0.017825,0.012691,0
0.014981,0.011485,0
0.012387,0.01027,0
0.01004,0.009031,0
0.007923,0.007775,0
0.006025,0.006498,0
0.00434,0.005192,0
0.002844,0.003879,0
0.001527,0.002557,0
0.000471,0.001157,0
0.000077,-0.000433,0
